id;name;birth_date
789;Harlan Coben;2020-07-16
790;Jennifer L. Armentrout;2020-07-16
791;Jennifer Close;2020-07-15
792;Pepper Winters;2020-07-16
793;Nicholas Sparks;2020-07-16
794;Dean Koontz;2020-07-16
795;Barbara Kingsolver;2020-07-15
796;Janell Cannon;2020-07-15
797;Daniel Clowes;2020-07-16
798;Sarah Dunant;2020-07-15
799;Sherrilyn Kenyon;2020-07-16
800;Nora Roberts;2020-07-16
801;Annie Proulx;2020-07-15
802;Patricia Cornwell;2020-07-16
803;Jodi Picoult;2020-07-16
804;Cynthia Hand;2020-07-16
805;Anne Rice;2020-07-15
806;Richard Dawkins;2020-07-15
807;Michael Crichton;2020-07-16
808;Alan Hollinghurst;2020-07-15
809;Thomas Harris;2020-07-16
810;James A. Michener;2020-07-16
811;Robert Goolrick;2020-07-15
812;Robert Ludlum;2020-07-16
813;Peter F. Hamilton;2020-07-16
814;Jim Butcher;2020-07-16
815;John Steinbeck;2020-07-15
816;Larry Niven;2020-07-15
817;J.R.R. Tolkien;2020-07-16
818;Meg Cabot;2020-07-15
819;Erin Hunter;2020-07-16
820;Cora Carmack;2020-07-16
821;Margaret Atwood;2020-07-15
822;Tim Johnston;2020-07-16
823;Michael Pollan;2020-07-16
824;Raymond E. Feist;2020-07-16
825;Larissa Ione;2020-07-15
826;John Marsden;2020-07-15
827;Libba Bray;2020-07-16
828;Jacqueline Susann;2020-07-15
829;Tamora Pierce;2020-07-16
830;Octavia E. Butler;2020-07-16
831;Meg Cabot;2020-07-15
832;Georgette Heyer;2020-07-16
833;Derek Landy;2020-07-16
834;Stephen King;2020-07-16
835;Linda Sue Park;2020-07-15
836;David Weber;2020-07-15
837;Michael J. Sullivan;2020-07-16
838;Maeve Binchy;2020-07-15
839;Isaac Asimov;2020-07-16
840;Elin Hilderbrand;2020-07-16
841;Dorothy L. Sayers;2020-07-15
842;Harlan Coben;2020-07-16
843;Karin Slaughter;2020-07-16
844;Ilona Andrews;2020-07-16
845;Gary Paulsen;2020-07-15
846;Charlaine Harris;2020-07-15
847;Elizabeth Wein;2020-07-16
848;Myra McEntire;2020-07-15
849;Michael J. Sullivan;2020-07-16
850;Megan Abbott;2020-07-16
851;S.A. Bodeen;2020-07-15
852;Peter Lerangis;2020-07-16
853;Jon Klassen;2020-07-16
854;Kate Morton;2020-07-16
855;J.D. Salinger;2020-07-15
856;Amy Poehler;2020-07-15
857;Ann Patchett;2020-07-16
858;Nicci French;2020-07-15
859;Diana Wynne Jones;2020-07-16
860;"Ozzy Osbourne; Chris Ayres";2020-07-16
861;Kathy Reichs;2020-07-15
862;Alfred Uhry;2020-07-16
863;Dee Henderson;2020-07-16
864;Nora Roberts;2020-07-16
865;Tim O'Brien;2020-07-15
866;Kevin Hearne;2020-07-15
867;"Angie Sage; Mark Zug";2020-07-16
868;Virginia Woolf;2020-07-15
869;Vernor Vinge;2020-07-16
870;Anita Diamant;2020-07-16
871;Kathryn Stockett;2020-07-15
872;Faith Hunter;2020-07-16
873;Andrea Cremer;2020-07-16
874;Alex Garland;2020-07-16
875;Kate Brian;2020-07-15
876;Julie Kibler;2020-07-15
877;Holly Goldberg Sloan;2020-07-16
878;Nicholas Sparks;2020-07-15
879;John Steinbeck;2020-07-16
880;Karen Marie Moning;2020-07-16
881;Sarah Dessen;2020-07-15
882;Marilynne Robinson;2020-07-16
883;Robin Hobb;2020-07-16
884;Elizabeth Gaskell;2020-07-16
885;Kristen Britain;2020-07-15
886;Ken Follett;2020-07-15
887;Lauren Conrad;2020-07-16
888;Philip Roth;2020-07-15
889;Dean Koontz;2020-07-16
890;Jacqueline Carey;2020-07-16
891;Anthony Hope;2020-07-15
892;Nora Roberts;2020-07-16
893;Tamora Pierce;2020-07-16
894;Thea Harrison;2020-07-16
895;Enid Blyton;2020-07-15
896;Steven Pinker;2020-07-15
897;Lois Lowry;2020-07-16
898;Vince Flynn;2020-07-15
899;Philippa Gregory;2020-07-16
900;Ilona Andrews;2020-07-16
901;S.E. Hinton;2020-07-15
902;Dietrich Bonhoeffer;2020-07-16
903;Harlan Coben;2020-07-16
904;Bret Lott;2020-07-16
905;Philip Pullman;2020-07-15
906;James Dickey;2020-07-15
907;Elin Hilderbrand;2020-07-16
908;Ami McKay;2020-07-15
909;Dr. Seuss;2020-07-16
910;Terry Pratchett;2020-07-16
911;Brian  McClellan;2020-07-15
912;Karen Marie Moning;2020-07-16
913;Jodi Picoult;2020-07-16
914;Salman Rushdie;2020-07-16
915;Richard Bach;2020-07-15
916;Heinrich Harrer;2020-07-15
917;Sarah Jio;2020-07-16
918;Dodie Smith;2020-07-15
919;Richelle Mead;2020-07-16
920;Robert Crais;2020-07-16
921;Joshilyn Jackson;2020-07-15
922;Peach-Pit;2020-07-16
923;Octavia E. Butler;2020-07-16
924;Anna Godbersen;2020-07-16
925;J.R. Ward;2020-07-15
926;Lauren Oliver;2020-07-15
927;Agatha Christie;2020-07-16
928;Charles Dickens;2020-07-15
929;Nicholas Sparks;2020-07-16
930;Mary Higgins Clark;2020-07-16
931;"Douglas Preston; Lincoln Child";2020-07-15
932;Maya Banks;2020-07-16
933;Neil Simon;2020-07-16
934;Harlan Coben;2020-07-16
935;Anna Maxted;2020-07-15
936;Iain M. Banks;2020-07-15
937;Iain M. Banks;2020-07-16
938;Iain M. Banks;2020-07-15
939;Jill Bolte Taylor;2020-07-16
940;Carol Lynch Williams;2020-07-16
941;Daniel H. Wilson;2020-07-15
942;H.G. Wells;2020-07-16
943;"Roald Dahl; Quentin Blake";2020-07-16
944;Carl Hiaasen;2020-07-16
945;David Mitchell;2020-07-15
946;Lisa Kleypas;2020-07-15
947;Tom Robbins;2020-07-16
948;Elin Hilderbrand;2020-07-15
949;Paul Auster;2020-07-16
950;Douglas Coupland;2020-07-16
951;Kristin Hannah;2020-07-15
952;Leon Uris;2020-07-16
953;Kelly Creagh;2020-07-16
954;Karin Slaughter;2020-07-16
955;Daniel Silva;2020-07-15
956;Nora Roberts;2020-07-15
957;Sara Zarr;2020-07-16
958;Richard Paul Evans;2020-07-15
959;Jessica Knoll;2020-07-16
960;Wallace Stegner;2020-07-16
961;Robert A. Heinlein;2020-07-15
962;Jacqueline Woodson;2020-07-16
963;Antony Beevor;2020-07-16
964;Katy Evans;2020-07-16
965;Dean Koontz;2020-07-15
966;Curtis Sittenfeld;2020-07-15
967;Brandon Mull;2020-07-16
968;Cory Doctorow;2020-07-15
969;David Baldacci;2020-07-16
970;James A. Michener;2020-07-16
971;Tess Gerritsen;2020-07-15
972;Jane Green;2020-07-16
973;John Galsworthy;2020-07-16
974;Clive Cussler;2020-07-16
975;Rainbow Rowell;2020-07-15
976;Lang Leav;2020-07-15
977;Robert Graves;2020-07-16
978;Caitlin Moran;2020-07-15
979;Alan Dean Foster;2020-07-16
980;John Grisham;2020-07-16
981;Jennifer Estep;2020-07-15
982;Nelson DeMille;2020-07-16
983;Betty Crocker;2020-07-16
984;Erin Watt;2020-07-16
985;Tim O'Brien;2020-07-15
986;Philip K. Dick;2020-07-15
987;J.D. Robb;2020-07-16
988;John Irving;2020-07-15
989;"Karen Kingsbury; Gary Smalley";2020-07-16
990;David Baldacci;2020-07-16
991;Irvine Welsh;2020-07-15
992;Janet Evanovich;2020-07-16
993;Daniel Silva;2020-07-16
994;Jamie McGuire;2020-07-16
995;Janice Y.K. Lee;2020-07-15
996;Kimberly Derting;2020-07-15
997;John Grisham;2020-07-16
998;Henry James;2020-07-15
999;Laurell K. Hamilton;2020-07-16
1000;Harlan Coben;2020-07-16
1001;Brandon Sanderson;2020-07-15
1002;Candace Bushnell;2020-07-16
1003;P.G. Wodehouse;2020-07-16
1004;David Eddings;2020-07-16
1005;Rachel Ward;2020-07-15
1006;Alison Croggon;2020-07-15
1007;Dorothy L. Sayers;2020-07-16
1008;Zadie Smith;2020-07-15
1009;Anna Kendrick;2020-07-16
1010;John Flanagan;2020-07-16
1011;Patricia Cornwell;2020-07-15
1012;David Wiesner;2020-07-16
1013;Jonathan Stroud;2020-07-16
1014;William Gibson;2020-07-16
1015;Kim Harrison;2020-07-15
1016;Susanna Kaysen;2020-07-15
1017;Mario Puzo;2020-07-16
1018;Neal Stephenson;2020-07-15
1019;A.G. Howard;2020-07-16
1020;Chris d'Lacey;2020-07-16
1021;J.D. Robb;2020-07-15
1022;Garth Risk Hallberg;2020-07-16
1023;Jenny Nimmo;2020-07-16
1024;Nora Roberts;2020-07-16
1025;A.M. Homes;2020-07-15
1026;Jennifer Echols;2020-07-15
1027;Lee Strobel;2020-07-16
1028;Agatha Christie;2020-07-15
1029;Ira Wagler;2020-07-16
1030;J.M. Coetzee;2020-07-16
1031;Dean Koontz;2020-07-15
1032;Stephanie Bond;2020-07-16
1033;Richard Kadrey;2020-07-16
1034;Erin Hunter;2020-07-16
1035;John Buchan;2020-07-15
1036;Gordon Korman;2020-07-15
1037;Candace Bushnell;2020-07-16
1038;Janet Evanovich;2020-07-15
1039;Sherwood Smith;2020-07-16
1040;Lorrie Moore;2020-07-16
1041;Robert Crais;2020-07-15
1042;Ted Dekker;2020-07-16
1043;Mira Grant;2020-07-16
1044;Richard Kadrey;2020-07-16
1045;James Patterson;2020-07-15
1046;Linda Castillo;2020-07-15
1047;Erin Hunter;2020-07-16
1048;Margaret Atwood;2020-07-15
1049;Harper Lee;2020-07-16
1050;Gwen Cooper;2020-07-16
1051;Jean M. Auel;2020-07-15
1052;John Marsden;2020-07-16
1053;Lloyd Alexander;2020-07-16
1054;Robert A. Caro;2020-07-16
1055;Tom Clancy;2020-07-15
1056;Paullina Simons;2020-07-15
1057;Christopher Moore;2020-07-16
1058;Raina Telgemeier;2020-07-15
1059;Amanda Hocking;2020-07-16
1060;Sebastian Barry;2020-07-16
1061;Armistead Maupin;2020-07-15
1062;Robert Crais;2020-07-16
1063;Wendy Higgins;2020-07-16
1064;C.S. Lewis;2020-07-16
1065;Sue Grafton;2020-07-15
1066;Charles Bukowski;2020-07-15
1067;Tamora Pierce;2020-07-16
1068;Len Deighton;2020-07-15
1069;Caroline Kepnes;2020-07-16
1070;Marilynne Robinson;2020-07-16
1071;Laurie Halse Anderson;2020-07-15
1072;Terry McMillan;2020-07-16
1073;Dan Simmons;2020-07-16
1074;Jules Verne;2020-07-16
1075;Peter  Swanson;2020-07-15
1076;Richard Paul Evans;2020-07-15
1077;Ann Patchett;2020-07-16
1078;Linwood Barclay;2020-07-15
1079;Julie Gregory;2020-07-16
1080;Gordon Korman;2020-07-16
1081;David Eddings;2020-07-15
1082;Jane Hamilton;2020-07-16
1083;Herman Wouk;2020-07-16
1084;Joe Abercrombie;2020-07-16
1085;Terry Pratchett;2020-07-15
1086;John Grisham;2020-07-15
1087;Brad Thor;2020-07-16
1088;Veronica Roth;2020-07-15
1089;Ruth Ozeki;2020-07-16
1090;Mary Kay Andrews;2020-07-16
1091;Ann Leary;2020-07-15
1092;Anne Rice;2020-07-16
1093;Nick Cave;2020-07-16
1094;Gayle Forman;2020-07-16
1095;Jo Baker;2020-07-15
1096;"Mem Fox; Jane Dyer";2020-07-15
1097;Carl Hiaasen;2020-07-16
1098;A.S. King;2020-07-15
1099;David Baldacci;2020-07-16
1100;Tim Winton;2020-07-16
1101;Conn Iggulden;2020-07-15
1102;Julie Kagawa;2020-07-16
1103;Marissa Meyer;2020-07-16
1104;David Foster Wallace;2020-07-16
1105;Norman Mailer;2020-07-15
1106;Rick Riordan;2020-07-15
1107;Mary Karr;2020-07-16
1108;Lisa Gardner;2020-07-15
1109;Laurence Rees;2020-07-16
1110;Gregory Maguire;2020-07-16
1111;Anne Tyler;2020-07-15
1112;"Owen  West; Dean Koontz";2020-07-16
1113;Adam Gopnik;2020-07-16
1114;Cormac McCarthy;2020-07-16
1115;Catherine Fisher;2020-07-15
1116;Dean Koontz;2020-07-15
1117;Lisa Kleypas;2020-07-16
1118;Sue Grafton;2020-07-15
1119;Herman Koch;2020-07-16
1120;Diane Setterfield;2020-07-16
1121;Antonia Fraser;2020-07-15
1122;Robert Louis Stevenson;2020-07-16
1123;Robert Jordan;2020-07-16
1124;Louise Penny;2020-07-16
1125;Nick Hornby;2020-07-15
1126;Jane Green;2020-07-15
1127;Madeleine Wickham;2020-07-16
1128;Agatha Christie;2020-07-15
1129;Sherrilyn Kenyon;2020-07-16
1130;Margaret Atwood;2020-07-16
1131;Anne Tyler;2020-07-15
1132;J.A. Redmerski;2020-07-16
1133;Chris d'Lacey;2020-07-16
1134;Dr. Seuss;2020-07-16
1135;Maya Angelou;2020-07-15
1136;Lori Lansens;2020-07-15
1137;Alison Goodman;2020-07-16
1138;Diana Gabaldon;2020-07-15
1139;John Steakley;2020-07-16
1140;Philippa Gregory;2020-07-16
1141;Harlan Coben;2020-07-15
1142;Raymond Khoury;2020-07-16
1143;Jeanette Winterson;2020-07-16
1144;James Patterson;2020-07-16
1145;Robin Norwood;2020-07-15
1146;C.J. Sansom;2020-07-15
1147;Orson Scott Card;2020-07-16
1148;Tad Williams;2020-07-15
1149;Ernest Hemingway;2020-07-16
1150;Ken Follett;2020-07-16
1151;Janet Evanovich;2020-07-15
1152;Maria V. Snyder;2020-07-16
1153;Robin Cook;2020-07-16
1154;Virginia Woolf;2020-07-16
1155;Enid Bagnold;2020-07-15
1156;George Saunders;2020-07-15
1157;Pittacus Lore;2020-07-16
1158;Richard Paul Evans;2020-07-15
1159;Anthony Horowitz;2020-07-16
1160;Sarah Dessen;2020-07-16
1161;John Grisham;2020-07-15
1162;Kate Atkinson;2020-07-16
1163;Glennon Doyle Melton;2020-07-16
1164;"Slash; Anthony Bozza";2020-07-16
1165;Lois Lowry;2020-07-15
1166;Roddy Doyle;2020-07-15
1167;John Jakes;2020-07-16
1168;H.A. Rey;2020-07-15
1169;Dr. Seuss;2020-07-16
1170;Alice Hoffman;2020-07-16
1171;Julie Garwood;2020-07-15
1172;Curtis Sittenfeld;2020-07-16
1173;Dave Eggers;2020-07-16
1174;Marisha Pessl;2020-07-16
1175;Sandra Boynton;2020-07-15
1176;Vince Flynn;2020-07-15
1177;James Patterson;2020-07-16
1178;Katherine Addison;2020-07-15
1179;David Foster Wallace;2020-07-16
1180;Terry Pratchett;2020-07-16
1181;Lee Child;2020-07-15
1182;Agatha Christie;2020-07-16
1183;Louise L. Hay;2020-07-16
1184;Carrie Fisher;2020-07-16
1185;Sarah Winman;2020-07-15
1186;Ronald H. Balson;2020-07-15
1187;Stephanie Garber;2020-07-16
1188;J.D. Robb;2020-07-15
1189;David Baldacci;2020-07-16
1190;Richelle Mead;2020-07-16
1191;"Lee Child; Dick Hill";2020-07-15
1192;Sue Monk Kidd;2020-07-16
1193;Johanna Lindsey;2020-07-16
1194;Caleb Carr;2020-07-16
1195;Kathy Reichs;2020-07-15
1196;Octavia E. Butler;2020-07-15
1197;Lisa Lutz;2020-07-16
1198;Philippa Gregory;2020-07-15
1199;Judy Blume;2020-07-16
1200;John Grisham;2020-07-16
1201;Cammie McGovern;2020-07-15
1202;Leif Enger;2020-07-16
1203;Rachel Gibson;2020-07-16
1204;Jennifer Crusie;2020-07-16
1205;Philippa Gregory;2020-07-15
1206;Shannon Hale;2020-07-15
1207;Jaci Burton;2020-07-16
1208;Jane Green;2020-07-15
1209;Ed Young;2020-07-16
1210;David Ebershoff;2020-07-16
1211;Tom Wolfe;2020-07-15
1212;Jim Butcher;2020-07-16
1213;Sarah Waters;2020-07-16
1214;Maggie Stiefvater;2020-07-16
1215;Greg Bear;2020-07-15
1216;James Clavell;2020-07-15
1217;Evelyn Waugh;2020-07-16
1218;Kasie West;2020-07-15
1219;Charles Bukowski;2020-07-16
1220;Bill Bryson;2020-07-16
1221;Richelle Mead;2020-07-15
1222;Rachel Hawkins;2020-07-16
1223;Amanda Hocking;2020-07-16
1224;Emma Donoghue;2020-07-16
1225;Max Barry;2020-07-15
1226;Veronica Roth;2020-07-15
1227;Brandon Sanderson;2020-07-16
1228;"Kingsley Amis; David Lodge";2020-07-15
1229;David Baldacci;2020-07-16
1230;Michael  Grant;2020-07-16
1231;Connor Franta;2020-07-15
1232;Jennifer Brown;2020-07-16
1233;Libba Bray;2020-07-16
1234;Leigh Bardugo;2020-07-16
1235;Cormac McCarthy;2020-07-15
1236;Isaac Asimov;2020-07-15
1237;Margaret Mitchell;2020-07-16
1238;Jack Ketchum;2020-07-15
1239;Clive Cussler;2020-07-16
1240;Laurie Fabiano;2020-07-16
1241;Dan Simmons;2020-07-15
1242;Naomi Novik;2020-07-16
1243;Donna Tartt;2020-07-16
1244;Jenny Han;2020-07-16
1245;Erich Maria Remarque;2020-07-15
1246;Kim Harrison;2020-07-15
1247;Judith McNaught;2020-07-16
1248;Stephen King;2020-07-15
1249;Colleen McCullough;2020-07-16
1250;Chevy Stevens;2020-07-16
1251;Richard K. Morgan;2020-07-15
1252;David Baldacci;2020-07-16
1253;C.S. Lewis;2020-07-16
1254;"Albert Camus; Stuart Gilbert";2020-07-16
1255;L.J. Smith;2020-07-15
1256;Dan Brown;2020-07-15
1257;Meg Cabot;2020-07-16
1258;Anna Godbersen;2020-07-15
1259;Paul Murray;2020-07-16
1260;Eoin Colfer;2020-07-16
1261;Elin Hilderbrand;2020-07-15
1262;"Jane Yolen; John Schoenherr";2020-07-16
1263;William Landay;2020-07-16
1264;Janet Evanovich;2020-07-16
1265;Jon Ronson;2020-07-15
1266;Tami Hoag;2020-07-15
1267;Ben Aaronovitch;2020-07-16
1268;Lisa Kleypas;2020-07-15
1269;David McCullough;2020-07-16
1270;Alastair Reynolds;2020-07-16
1271;Stephen E. Ambrose;2020-07-15
1272;Nicole Krauss;2020-07-16
1273;Curtis Sittenfeld;2020-07-16
1274;Karen Marie Moning;2020-07-16
1275;Charles M. Sheldon;2020-07-15
1276;Catherine Bybee;2020-07-15
1277;Miranda July;2020-07-16
1278;J.R. Ward;2020-07-15
1279;J.R. Ward;2020-07-16
1280;Phil Klay;2020-07-16
1281;Herman Wouk;2020-07-15
1282;Nora Roberts;2020-07-16
1283;Suzanne Rindell;2020-07-16
1284;Patti Smith;2020-07-16
1285;Carolyn  Parkhurst;2020-07-15
1286;Mary Karr;2020-07-15
1287;Agatha Christie;2020-07-16
1288;T.C. Boyle;2020-07-15
1289;Cecily von Ziegesar;2020-07-16
1290;John Flanagan;2020-07-16
1291;Daniel Silva;2020-07-15
1292;Steve Berry;2020-07-16
1293;Amy Tintera;2020-07-16
1294;Marian Keyes;2020-07-16
1295;Rebecca Wells;2020-07-15
1296;Anita Shreve;2020-07-15
1297;Judy Blume;2020-07-16
1298;John Scalzi;2020-07-15
1299;Marisa de los Santos;2020-07-16
1300;Sylvia Day;2020-07-16
1301;William Kent Krueger;2020-07-15
1302;Natalie Babbitt;2020-07-16
1303;Julie Garwood;2020-07-16
1304;Karen Chance;2020-07-16
1305;Conn Iggulden;2020-07-15
1306;Maggie Shipstead;2020-07-15
1307;Linda Sue Park;2020-07-16
1308;Sue Grafton;2020-07-15
1309;Alexander Gordon Smith;2020-07-16
1310;Thomas Pynchon;2020-07-16
1311;Steve Berry;2020-07-15
1312;Terry Pratchett;2020-07-16
1313;John Katzenbach;2020-07-16
1314;Nicholas Sparks;2020-07-16
1315;David Guterson;2020-07-15
1316;Charles Portis;2020-07-15
1317;Guy Delisle;2020-07-16
1318;Robin Hobb;2020-07-15
1319;Bill Bryson;2020-07-16
1320;Ann Aguirre;2020-07-16
1321;Anthony Horowitz;2020-07-15
1322;Stephen King;2020-07-16
1323;Michael  Grant;2020-07-16
1324;Nora Roberts;2020-07-16
1325;Lisa McMann;2020-07-15
1326;Jennifer Weiner;2020-07-15
1327;Judith McNaught;2020-07-16
1328;Lisa Gardner;2020-07-15
1329;Diablo Cody;2020-07-16
1330;John Sandford;2020-07-16
1331;Brandon Sanderson;2020-07-15
1332;Dean Koontz;2020-07-16
1333;Jim Butcher;2020-07-16
1334;Melina Marchetta;2020-07-16
1335;Sandra Brown;2020-07-15
1336;Karen Chance;2020-07-15
1337;Ron Chernow;2020-07-16
1338;Julie Kagawa;2020-07-15
1339;T.S. Eliot;2020-07-16
1340;Robert Jordan;2020-07-16
1341;John Irving;2020-07-15
1342;Meg Cabot;2020-07-16
1343;Edgar Rice Burroughs;2020-07-16
1344;Robert Jordan;2020-07-16
1345;Michel Faber;2020-07-15
1346;Sarah Waters;2020-07-15
1347;Maria Dahvana Headley;2020-07-16
1348;Vince Flynn;2020-07-15
1349;Dee Henderson;2020-07-16
1350;Meg Cabot;2020-07-16
1351;Jeffery Deaver;2020-07-15
1352;John Grisham;2020-07-16
1353;R.A. Salvatore;2020-07-16
1354;Kelley Armstrong;2020-07-16
1355;A.C. Gaughen;2020-07-15
1356;Clare Mackintosh;2020-07-15
1357;Nick Hornby;2020-07-16
1358;J.D. Robb;2020-07-15
1359;Cupcake Brown;2020-07-16
1360;Kresley Cole;2020-07-16
1361;Meg Cabot;2020-07-15
1362;Stephen King;2020-07-16
1363;Kurt Vonnegut Jr.;2020-07-16
1364;Elle Kennedy;2020-07-16
1365;Richelle Mead;2020-07-15
1366;Josh Bazell;2020-07-15
1367;Harlan Coben;2020-07-16
1368;David Mazzucchelli;2020-07-15
1369;Stephen Coonts;2020-07-16
1370;David Weber;2020-07-16
1371;Jeffery Deaver;2020-07-15
1372;Susane Colasanti;2020-07-16
1373;Nick Hornby;2020-07-16
1374;James Patterson;2020-07-16
1375;Belva Plain;2020-07-15
1376;Stephanie Danler;2020-07-15
1377;Sherrilyn Kenyon;2020-07-16
1378;Marian Keyes;2020-07-15
1379;L.J. Smith;2020-07-16
1380;Nelson DeMille;2020-07-16
1381;Joel Fuhrman;2020-07-15
1382;Richelle Mead;2020-07-16
1383;Terry Goodkind;2020-07-16
1384;J. Sheridan Le Fanu;2020-07-16
1385;S.J. Watson;2020-07-15
1386;David Gemmell;2020-07-15
1387;Veronica Rossi;2020-07-16
1388;Gena Showalter;2020-07-15
1389;Richard Brautigan;2020-07-16
1390;Jack London;2020-07-16
1391;"Saul Bellow; Philip Roth";2020-07-15
1392;Jeanette Winterson;2020-07-16
1393;Eric S. Nylund;2020-07-16
1394;Richelle Mead;2020-07-16
1395;Carrie Jones;2020-07-15
1396;Daniel Silva;2020-07-15
1397;Jessica Park;2020-07-16
1398;Meg Cabot;2020-07-15
1399;Rachel Vincent;2020-07-16
1400;Ernest Hemingway;2020-07-16
1401;Jennifer Estep;2020-07-15
1402;Gene Wolfe;2020-07-16
1403;Chimamanda Ngozi Adichie;2020-07-16
1404;Ken Follett;2020-07-16
1405;Jim Butcher;2020-07-15
1406;Eoin Colfer;2020-07-15
1407;David Eddings;2020-07-16
1408;Eldridge Cleaver;2020-07-15
1409;"Anne Rice; Anne Rampling";2020-07-16
1410;Jeffrey Archer;2020-07-16
1411;Stephen R. Donaldson;2020-07-15
1412;Anna Dewdney;2020-07-16
1413;Beth Harbison;2020-07-16
1414;Seanan McGuire;2020-07-16
1415;Kristin Hannah;2020-07-15
1416;Dave Cullen;2020-07-15
1417;Terry Pratchett;2020-07-16
1418;Jeff Kinney;2020-07-15
1419;William Goldman;2020-07-16
1420;Rene Denfeld;2020-07-16
1421;Michael Crichton;2020-07-15
1422;Kelley Armstrong;2020-07-16
1423;Richelle Mead;2020-07-16
1424;Melina Marchetta;2020-07-16
1425;Elin Hilderbrand;2020-07-15
1426;Kate Morton;2020-07-15
1427;Raymond E. Feist;2020-07-16
1428;Stephen King;2020-07-15
1429;Dr. Seuss;2020-07-16
1430;Robert McCloskey;2020-07-16
1431;Steven Erikson;2020-07-15
1432;Alexandra Bracken;2020-07-16
1433;Marie Rutkoski;2020-07-16
1434;Terry Brooks;2020-07-16
1435;Jeffrey Brown;2020-07-15
1436;William Gibson;2020-07-15
1437;L.J. Smith;2020-07-16
1438;Paul Beatty;2020-07-15
1439;John Fowles;2020-07-16
1440;Matthew  Thomas;2020-07-16
1441;Lisa Scottoline;2020-07-15
1442;Meg Cabot;2020-07-16
1443;Terry Pratchett;2020-07-16
1444;Paul O. Zelinsky;2020-07-16
1445;Dean Koontz;2020-07-15
1446;Sherrilyn Kenyon;2020-07-15
1447;Louisa May Alcott;2020-07-16
1448;Jacqueline Sheehan;2020-07-15
1449;Agatha Christie;2020-07-16
1450;Liz Moore;2020-07-16
1451;Carrie Jones;2020-07-15
1452;John Grisham;2020-07-16
1453;Dean Koontz;2020-07-16
1454;Stephen Clarke;2020-07-16
1455;Robert   Harris;2020-07-15
1456;George Carlin;2020-07-15
1457;Ellis Avery;2020-07-16
1458;Dean Koontz;2020-07-15
1459;Gary D. Schmidt;2020-07-16
1460;Lauren Oliver;2020-07-16
1461;Melissa de la Cruz;2020-07-15
1462;Raymond Chandler;2020-07-16
1463;Alastair Reynolds;2020-07-16
1464;Simone Elkeles;2020-07-16
1465;Dr. Seuss;2020-07-15
1466;J.M. Darhower;2020-07-15
1467;Gloria Steinem;2020-07-16
1468;Patrick Carman;2020-07-15
1469;Maggie Nelson;2020-07-16
1470;Ildefonso Falcones;2020-07-16
1471;John Flanagan;2020-07-15
1472;Jojo Moyes;2020-07-16
1473;James Herbert;2020-07-16
1474;Kiera Cass;2020-07-16
1475;Amy Plum;2020-07-15
1476;J.D. Robb;2020-07-15
1477;Amitav Ghosh;2020-07-16
1478;Daniel Glattauer;2020-07-15
1479;John Irving;2020-07-16
1480;Scott B. Smith;2020-07-16
1481;Catherine Bybee;2020-07-15
1482;Jill Shalvis;2020-07-16
1483;Jay Asher;2020-07-16
1484;John Grisham;2020-07-16
1485;Neil Gaiman;2020-07-15
1486;Lee Child;2020-07-15
1487;Nicholas Evans;2020-07-16
1488;Sophie Jordan;2020-07-15
1489;Maeve Binchy;2020-07-16
1490;Lara Adrian;2020-07-16
1491;Herman Wouk;2020-07-15
1492;L.M. Montgomery;2020-07-16
1493;Enid Blyton;2020-07-16
1494;Lisa Kleypas;2020-07-16
1495;Thomas Pynchon;2020-07-15
1496;Charlie Higson;2020-07-15
1497;Julian Barnes;2020-07-16
1498;Tess Gerritsen;2020-07-15
1499;Gordon Korman;2020-07-16
1500;Karin Slaughter;2020-07-16
1501;David Levithan;2020-07-15
1502;Katherine Allred;2020-07-16
1503;George Orwell;2020-07-16
1504;Brad Thor;2020-07-16
1505;Janet Evanovich;2020-07-15
1506;Iris Johansen;2020-07-15
1507;N.H. Kleinbaum;2020-07-16
1508;Edward Rutherfurd;2020-07-15
1509;Meg Cabot;2020-07-16
1510;James Rollins;2020-07-16
1511;Elizabeth Eulberg;2020-07-15
1512;Wilbur Smith;2020-07-16
1513;Augusten Burroughs;2020-07-16
1514;Amelia Atwater-Rhodes;2020-07-16
1515;Shel Silverstein;2020-07-15
1516;David Byrne;2020-07-15
1517;Emmy Laybourne;2020-07-16
1518;Kresley Cole;2020-07-15
1519;Ruth Ozeki;2020-07-16
1520;Rainbow Rowell;2020-07-16
1521;James S.A. Corey;2020-07-15
1522;Justin Halpern;2020-07-16
1523;Toni Morrison;2020-07-16
1524;Jim Butcher;2020-07-16
1525;Michelle Moran;2020-07-15
1526;Rachel Vincent;2020-07-15
1527;"Cory Doctorow; Jen Wang";2020-07-16
1528;Lara Adrian;2020-07-15
1529;"Richard Bachman; Stephen King";2020-07-16
1530;Pierce Brown;2020-07-16
1531;M.J. Arlidge;2020-07-15
1532;Leo Lionni;2020-07-16
1533;Laurie Halse Anderson;2020-07-16
1534;Arnold Lobel;2020-07-16
1535;Derf Backderf;2020-07-15
1536;Trudi Canavan;2020-07-15
1537;Susane Colasanti;2020-07-16
1538;Jamie McGuire;2020-07-15
1539;Robin Hobb;2020-07-16
1540;Geraldine Brooks;2020-07-16
1541;Jim Butcher;2020-07-15
1542;Dr. Seuss;2020-07-16
1543;Dr. Seuss;2020-07-16
1544;Corrie ten Boom;2020-07-16
