id;title;description;publication_date;price
1141;Stay Close;Vintage;2020-07-15;459
1142;The Last Templar;Ballantine Books;2020-07-16;306
1143;Sexing the Cherry;Scribner;2020-07-16;250
1144;Four Blind Mice;Scribner;2020-07-16;352
1145;Women Who Love Too Much;Scribner;2020-07-15;400
1146;Dissolution;Ecco;2020-07-15;940
1147;The Gate Thief;Penguin Books;2020-07-16;1023
1148;Mountain of Black Glass;Signet Classics;2020-07-15;544
1149;In Our Time;Modern Library;2020-07-16;1168
1150;Winter of the World;Harcourt Brace Jovanovich;2020-07-16;240
1151;Ten Big Ones;Cliffs Notes;2020-07-15;96
1152;Poison Study;Severn House Publishers;2020-07-16;256
1153;Outbreak;Zebra;2020-07-16;383
1154;A Room of One's Own;University Of Chicago Press;2020-07-16;320
1155;National Velvet;Ballantine Books;2020-07-15;496
1156;Pastoralia;asdasd;2020-07-15;34
1157;The Fall of Five;Counterpoint;2020-07-16;190
1158;Rise of the Elgen;Broadway Books;2020-07-15;304
1159;Eagle Strike;Polyface;2020-07-16;134
1160;That Summer;Norton;2020-07-16;255
1161;Sycamore Row;Bantam Books;2020-07-15;212
1162;Case Histories;Broadway Books;2020-07-16;624
1163;Love Warrior;Regnery Publishing;2020-07-16;270
1164;Slash;Bloomsbury;2020-07-16;336
1165;Anastasia Krupnik;Gramercy Books;2020-07-15;460
1166;The Commitments;Simon  Schuster Audio;2020-07-15;8
1167;North and South;Houghton Mifflin Harcourt;2020-07-16;816
1168;Curious George Rides a Bike;Clarkson Potter;2020-07-15;256
1169;There's a Wocket in My Pocket;National Geographic Society;2020-07-16;204
1170;Here on Earth ;Farrar  Straus and Giroux;2020-07-16;129
1171;The Prize;Vintage/Ebury (A Division of Random House Group);2020-07-15;344
1172;American Wife;Santillana USA Publishing Company;2020-07-16;388
1173;A Hologram for the King;Viking Adult;2020-07-16;256
1174;Night Film;Ediciones B;2020-07-16;618
1175;The Going-To-Bed Book;Headline Book Pub Ltd;2020-07-15;632
1176;Extreme Measures;Marvel;2020-07-15;120
1177;Virgin;Heyne;2020-07-16;1456
1178;The Goblin Emperor;Pocket;2020-07-15;347
1179;Oblivion;Robert Laffont;2020-07-16;572
1180;Eric;Harper Voyager;2020-07-16;891
1181;Echo Burning;HarperTorch;2020-07-15;752
1182;Lord Edgware Dies;Little  Brown and Company;2020-07-16;769
1183;Heal Your Body;Harper Voyager;2020-07-16;272
1184;The Princess Diarist;Minotaur Books;2020-07-16;320
1185;When God Was a Rabbit;Bantam Spectra;2020-07-15;563
1186;Once We Were Brothers;HarperTorch;2020-07-15;371
1187;Caraval;Picador USA;2020-07-16;639
1188;Reunion in Death;Dark Horse;2020-07-15;159
1189;The Escape;Thomas Nelson;2020-07-16;240
1190;Storm Born;HarperTorch (an imprint of HarperCollins Publishers);2020-07-16;243
1191;Night School;HarperOne;2020-07-15;205
1192;The Secret Life of Bees;Little  Brown and Company;2020-07-16;198
1193;Prisoner of my desire ;Kingfisher;2020-07-16;32
1194;The Angel of Darkness;Picador;2020-07-16;399
1195;Bones Are Forever;Vintage;2020-07-15;404
1196;Fledgling;Grand Central Publishing;2020-07-15;608
1197;The Passenger;Simon  Schuster Books for Young Readers;2020-07-16;208
1198;The Constant Princess;Westminster John Knox Press;2020-07-15;228
1199;Superfudge;Harper Perennial;2020-07-16;288
1200;A Time to Kill;Summit University Press;2020-07-16;155
1201;Amy & Matthew;Plume;2020-07-15;412
1202;Peace Like a River;Beacon Press;2020-07-16;165
1203;Simply Irresistible;Beacon Press (Boston);2020-07-16;165
1204;Crazy For You;W. W. Norton & Company;2020-07-16;430
1205;The Boleyn Inheritance;For Dummies;2020-07-15;382
1206;Princess Academy;Addison-Wesley Professional;2020-07-15;321
1207;The Perfect Play;Pragmatic Bookshelf;2020-07-16;176
1208;Bookends;Penguin;2020-07-15;278
1209;Lon Po Po;Plexus Publishing Ltd;2020-07-16;112
1210;The 19th Wife;Kingfisher;2020-07-16;32
1211;A Man in Full;Simon & Schuster Childrens Books;2020-07-15;224
1212;Academ's Fury;Da Capo Press;2020-07-16;384
1213;The Little Stranger;Harper Business;2020-07-16;368
1214;Shiver;Warner Books (NY);2020-07-16;304
1215;Eon;Simon & Schuster;2020-07-15;344
1216;Noble House;Arrow;2020-07-15;320
1217;Scoop;Hci;2020-07-16;311
1218;Fill-in boyfrined;IVP Books;2020-07-15;227
1219;Post Office;St. Martin's Griffin;2020-07-16;256
1220;Down Under;Vintage;2020-07-16;688
1221;The Golden Lily;Penguin Books;2020-07-15;542
1222;Rebel Belle;Turtleback Books;2020-07-16;448
1223;Torn;Penguin;2020-07-16;542
1224;Slammerkin;Suhrkamp;2020-07-16;106
1225;Jennifer Government;DeVorss & Company;2020-07-15;183
1226;Allegiant;Random House Large Print;2020-07-15;756
1227;Mitosis;Atria Books;2020-07-16;528
1228;Lucky Jim;Thomas Nelson;2020-07-15;352
1229;One Summer;Ronin Publishing (CA);2020-07-16;168
1230;Hunger ;Anchor;2020-07-16;489
1231;A Work in Progress;Random House Audio;2020-07-15;0
1232;Hate List;Umbriel;2020-07-16;557
1233;A Great and Terrible Beauty;Oxford University Press  USA;2020-07-16;207
1234;Six of Crows;Bloomsbury UK;2020-07-16;480
1235;The Crossing ;McSweeney's;2020-07-15;153
1236;Foundation and Empire;McSweeney's;2020-07-15;143
1237;Gone with the Wind;Riverhead Books;2020-07-16;207
1238;The Girl Next Door;Orion Publishing;2020-07-15;288
1239;Deep Six;Riverhead Books;2020-07-16;247
1240;Elizabeth Street;Riverhead Books;2020-07-16;323
1241;The Fall of Hyperion;Penguin;2020-07-15;278
1242;Uprooted;Viking;2020-07-16;278
1243;The Secret History;Bloomsbury Publishing PLC;2020-07-16;386
1244;It's Not Summer Without You;Arcadia Publishing;2020-07-16;128
1245;Drei Kameraden;Bloomsbury Academic;2020-07-15;96
1246;A Fistful of Charms;Hachette Books;2020-07-15;465
1247;"Whitney; My Love";Albin Michel;2020-07-16;85
1248;Four Past Midnight;American University in Cairo Press;2020-07-15;349
1249;The Thorn Birds;Speak;2020-07-16;250
1250;That Night;HarperTorch;2020-07-16;432
1251;Broken Angels;Chaosium;2020-07-15;260
1252;True Blue;HarperCollins Publishers Ltd;2020-07-16;375
1253;The magician's nephew;HarperTorch;2020-07-16;405
1254;La peste;Riverhead Books;2020-07-16;496
1255;The Fury and Dark Reunion;Harper;2020-07-15;212
1256;The Da Vinci Code;Vintage;2020-07-15;260
1257;Ninth Key;Signet;2020-07-16;386
1258;Envy;Three Rivers Press;2020-07-15;174
1259;Skippy Dies;Alison Green Books;2020-07-16;32
1260;The Lost Colony;Scholastic  Inc.;2020-07-16;48
1261;Barefoot;Penguin Books (NY);2020-07-15;336
1262;Owl Moon;St. Martin's Press;2020-07-16;507
1263;Defending Jacob;Vintage;2020-07-16;542
1264;Plum Lovin';Picador USA;2020-07-16;344
1265;The Psychopath Test;W. W. Norton  Company;2020-07-15;336
1266;Ashes to Ashes;Harper Perennial;2020-07-15;238
1267;Foxglove Summer;Blackstone Audiobooks;2020-07-16;5
1268;It Happened One Autumn;Plaza y Janes;2020-07-15;160
1269;The Wright Brothers;Harper Perennial Modern Classics;2020-07-16;288
1270;The Prefect;Penguin Classics;2020-07-16;464
1271;Undaunted Courage;Cliffs Notes;2020-07-15;112
1272;The History of Love;Longman Schools Division (a Pearson Education Company);2020-07-16;597
1273;Sisterland;PerfectBound (HarperCollins);2020-07-16;635
1274;Bloodfever;Random House (NY);2020-07-16;399
1275;In His Steps;Headline Review;2020-07-15;635
1276;Wife by wednesday;Penguin Books;2020-07-15;601
1277;The First Bad Man;Orion Publishing;2020-07-16;575
1278;"Lover Avenged; part one";Bantam Books;2020-07-15;691
1279;"Lover Enshrined; part one";Grosset & Dunlap;2020-07-16;112
1280;Redeployment;Trafford Publishing;2020-07-16;615
1281;The Winds of War;Back Bay Books;2020-07-15;849
1282;Morrigan's Cross;Atlantic;2020-07-16;229
1283;The Other Typist;Atlantic;2020-07-16;295
1284;Just Kids;Atlantic Books;2020-07-16;320
1285;The Dogs of Babel;Touchstone;2020-07-15;272
1286;Lit;Touchstone;2020-07-15;318
1287;Cat Among the Pigeons;Geddes & Grosset;2020-07-16;189
1288;The Tortilla Curtain;Modern Library;2020-07-15;641
1289;Gossip Girl;Picador USA;2020-07-16;270
1290;Erak's Ransom;Atheneum Books for Young Readers;2020-07-16;80
1291;The Fallen Angel;Picador  Macmillan Publishers Ltd;2020-07-15;422
1292;The Alexandria Link;Penguin Books;2020-07-16;64
1293;Reboot;Edebé;2020-07-16;279
1294;Anybody Out There?;AHA! Process;2020-07-16;199
1295;Little Altars Everywhere;Rayo;2020-07-15;230
1296;The Last Time They Met;Phoenix;2020-07-15;403
1297;Summer Sisters;Manning Publications;2020-07-16;493
1298;Old Man's War;Dell;2020-07-15;172
1299;Love Walked In;Firebird;2020-07-16;324
1300;Bared to You;Firebird;2020-07-16;304
1301;Ordinary Grace;Harper Perennial;2020-07-15;276
1302;Tuck Everlasting;Penguin Group;2020-07-16;276
1303;Mercy;Mariner Books;2020-07-16;326
1304;Embrace the Night;Harper Perennial;2020-07-16;344
1305;The Gates of Rome;Cold Spring Harbor Laboratory Press;2020-07-15;692
1306;Seating Arrangements;Ballantine Books;2020-07-15;392
1307;Storm Warning;Hyperion;2020-07-16;483
1308;C is for Corpse;Simon & Schuster Childrens Books;2020-07-15;14
1309;Lockdown;Pocket Books;2020-07-16;30
1310;Gravity's Rainbow;Atheneum Books for Young Readers;2020-07-16;40
1311;The Venetian Betrayal;Rivages;2020-07-15;482
1312;The Colour of Magic;Atheneum/Richard Jackson Books;2020-07-16;32
1313;The Analyst;Cliffs Notes;2020-07-16;48
1314;See Me;Vintage;2020-07-16;519
1315;Snow Falling on Cedars;University of California Press;2020-07-15;367
1316;True Grit;Atria Books;2020-07-15;224
1317;Pyongyang;Kiepenheuer & Witsch;2020-07-16;119
1318;The Golden Fool;Scribner;2020-07-15;650
1319;One Summer: America 1927;Algonquin Books;2020-07-16;97
1320;Outpost;Vintage Classics;2020-07-16;490
1321;Evil Star;Vintage;2020-07-15;192
1322;Joyland;Scribner;2020-07-16;448
1323;Lies;Vintage;2020-07-16;247
1324;Blue Smoke;Scribner Classics;2020-07-16;464
1325;Fade;Pineapple Press;2020-07-15;185
1326;Goodnight Nobody;Caedmon;2020-07-15;4
1327;Something Wonderful;Black Swan;2020-07-16;928
1328;Catch Me;Ballantine Books;2020-07-15;208
1329;Candy Girl;Fawcett Books;2020-07-16;368
1330;Winter Prey;Ballantine Books;2020-07-16;272
1331;Firefight;Ballantine Books;2020-07-15;304
1332;Odd Apocalypse;Ballantine Books;2020-07-16;176
1333;Ghost Story;Scribner;2020-07-16;800
1334;Finnikin of the Rock;Scribner;2020-07-16;528
1335;Witness;University of South Carolina Press;2020-07-15;203
1336;Touch the Dark;Minnesota Historical Society Press;2020-07-15;328
1337;Alexander Hamilton;Penguin Classics;2020-07-16;400
1338;The Immortal Rules;Penguin Global;2020-07-15;144
1339;Collected Poems 1909-1962;Caedmon;2020-07-16;6
1340;The Dragon Reborn ;Audio Partners;2020-07-16;4
1341;The 158-Pound Marriage;Cliffs Notes;2020-07-15;96
1342;Princess Mia;Penguin Books;2020-07-16;188
1343;The Gods of Mars;Picador;2020-07-16;208
1344;Knife of Dreams;Warner Vision;2020-07-16;553
1345;Under the Skin;Grand Central Publishing;2020-07-15;817
1346;The Night Watch;Warner Books (NY);2020-07-15;528
1347;Magonia;Warner Books (NY);2020-07-16;288
1348;Kill Shot;St. Martins Press-3PL;2020-07-15;176
1349;Danger in the Shadows;Little  Brown Book Group;2020-07-16;720
1350;How to Be Popular;Signet;2020-07-16;448
1351;The Stone Monkey;Fawcett;2020-07-15;448
1352;The Brethren;St. Martin's Griffin;2020-07-16;352
1353;Sojourn (Dark Elf #3);Tougher Disguises;2020-07-16;81
1354;The Reckoning;Zeta Bolsillo;2020-07-16;768
1355;Scarlet;Vintage;2020-07-15;60
1356;I Let You Go;HarperCollins UK;2020-07-15;32
1357;Slam;Oxford University Press  USA;2020-07-16;520
1358;Vengeance in Death;Pelican Publishing;2020-07-15;224
1359;A Piece of Cake: A Memoir;Cambridge University Press;2020-07-16;214
1360;Poison Princess;Douglas  McIntyre;2020-07-16;144
1361;Underworld;Douglas  McIntyre;2020-07-15;144
1362;The Bazaar of Bad Dreams;Oxford University Press  USA;2020-07-16;272
1363;Timequake;Running Press;2020-07-16;256
1364;The Mistake;Time-Life Books  Inc.;2020-07-16;175
1365;Succubus Heat;Del Rey;2020-07-15;166
1366;Beat the Reaper;Free Press;2020-07-15;400
1367;No Second Chance;Del Rey Books;2020-07-16;150
1368;Asterios Polyp;University of Oklahoma Press;2020-07-15;224
1369;Flight of the Intruder;Penguin Classics;2020-07-16;336
1370;The Honor of the Queen;Penguin Books;2020-07-16;181
1371;The Twelfth Card;Library of America;2020-07-15;1088
1372;Waiting For You;Penguin Classics;2020-07-16;154
1373;Funny Girl;Penguin Books Ltd;2020-07-16;288
1374;Kiss the Girls;Walker Books;2020-07-16;224
1375;Evergreen;Walker Books;2020-07-15;192
1376;Sweetbitter;Children's Press(CT);2020-07-15;32
1377;Dream Warrior;Collection of Historical Scientific Instruments;2020-07-16;437
1378;Watermelon;Harper Perennial (NYC);2020-07-15;650
1379;Dark Reunion;Silhouette Desire;2020-07-16;192
1380;Night Fall;Viking;2020-07-16;461
1381;Eat to Live;Johnson Publishing Company (IL);2020-07-15;796
1382;Spirit Bound;Penguin Books;2020-07-16;70
1383;Soul of the Fire;Random House Trade;2020-07-16;398
1384;Carmilla;Picador;2020-07-16;463
1385;Before I Go to Sleep;Viking Children's Books;2020-07-15;224
1386;The King Beyond the Gate;Vintage;2020-07-15;272
1387;Into the Still Blue;Microsoft Press;2020-07-16;914
1388;The Darkest Night;Galahad Books;2020-07-15;538
1389;In Watermelon Sugar;Gallery Books;2020-07-16;358
1390;White Fang;Pocket Books;2020-07-16;224
1391;Herzog;Pocket Books;2020-07-15;256
1392;The Passion;Basic Books;2020-07-16;144
1393;The Fall of Reach;Basic Books;2020-07-16;118
1394;The Fiery Heart;Vermilion;2020-07-16;96
1395;Captivate;Harvard Business Review Press;2020-07-15;240
1396;Prince of Fire;Green Integer;2020-07-15;188
1397;Left Drowning;Oxford University Press;2020-07-16;225
1398;Reunion;Wildside Press;2020-07-15;132
1399;My Soul to Keep;Scribner;2020-07-16;272
1400;The Sun Also Rises;Simon & Schuster;2020-07-16;224
1401;Touch of Frost;Penguin Books;2020-07-15;185
1402;The Shadow of the Torturer;Dover Publications;2020-07-16;144
1403;Americanah;Collectors Library;2020-07-16;272
1404;The Man from St. Petersburg;Penguin Classics;2020-07-16;178
1405;Storm Front;Penguin Classics;2020-07-15;400
1406;The Atlantis Complex;Vintage International;2020-07-15;467
1407;Magician's Gambit;Signet Classics;2020-07-16;736
1408;Soul On Ice;Farrar  Straus and Giroux;2020-07-15;796
1409;Belinda;Penguin Books Ltd;2020-07-16;1013
1410;The Fourth Estate;Vintage Books USA;2020-07-16;796
1411;The One Tree;Hovel Audio;2020-07-15;16
1412;"Llama; Llama Red Pajama";Barnes  Noble Classics;2020-07-16;720
1413;Secrets of a shoe addict;Cliffs Notes;2020-07-16;96
1414;Rosemary and Rue;Material World;2020-07-16;288
1415;Distant Shores;Philomel Books;2020-07-15;13
1416;Columbine;Child's Play International;2020-07-15;32
1417;The Fifth Elephant;HMH Books for Young Readers;2020-07-16;32
1418;The Last Straw;Mariner Books;2020-07-15;333
1419;Marathon Man;Plume;2020-07-16;224
1420;The Enchanted;McSweeney's;2020-07-16;475
1421;The Terminal Man;Vintage;2020-07-15;485
1422;Broken;Vintage;2020-07-16;401
1423;Succubus Shadows ;Vintage;2020-07-16;224
1424;Saving Francesca;McSweeney's;2020-07-16;218
1425;Silver Girl;Scholastic;2020-07-15;32
1426;The Shifting Fog;Paulist Press;2020-07-15;32
1427;Silverthorn;Penguin Books;2020-07-16;358
1428;Misery;Bantam Books;2020-07-15;224
1429;The Lorax;Pocket Books;2020-07-16;931
1430;Homer Price;Random House Trade Paperbacks;2020-07-16;160
1431;House of Chains;Dial Press;2020-07-15;275
1432;The Darkest Minds;Chelsea House Publications;2020-07-16;258
1433;The Winner's Curse;Washington Square Press;2020-07-16;80
1434;Antrax;Dial Press Trade Paperback;2020-07-16;310
1435;Darth Vader and Son;Berkley;2020-07-15;240
1436;Virtual Light;St. Martin's Press;2020-07-15;336
1437;"Night World; No. 2";Chalice Press;2020-07-16;100
1438;The Sellout;Bloomsbury Academic;2020-07-15;88
1439;The Magus;Gallimard;2020-07-16;313
1440;We Are Not Ourselves;Belknap Press of Harvard University Press;2020-07-16;776
1441;Come Home;Wizards of the Coast;2020-07-15;397
1442;Airhead ;Viking Books;2020-07-16;489
1443;Thud!;Punto de Lectura;2020-07-16;411
1444;Rapunzel;Anchor;2020-07-16;289
1445;Strange Highways;Atheneum Books for Young Readers;2020-07-15;32
1446;Night Play;MacMillan General Books;2020-07-15;596
1447;Little Women;NAL;2020-07-16;320
1448;Lost & Found;NAL;2020-07-15;448
1449;Sad Cypress;Random House Trade;2020-07-16;319
1450;Heft;Norma;2020-07-16;324
1451;Entice;NAL;2020-07-15;416
1452;Gray Mountain;MacMillan Audio;2020-07-16;4
1453;Ashley Bell;Signet;2020-07-16;496
1454;A Year in the Merde;VIZ Media LLC;2020-07-16;208
1455;Pompeii;VIZ Media LLC;2020-07-15;208
1456;Napalm & Silly Putty;Glénat;2020-07-15;200
1457;The Last Nude;North Atlantic Books;2020-07-16;240
1458;Forever Odd;Knopf Publishing Group;2020-07-15;336
1459;The Wednesday Wars;Anchor Canada;2020-07-16;624
1460;Requiem;Signet;2020-07-16;463
1461;Blue Bloods;Everyman's Library;2020-07-15;350
1462;The Long Goodbye;Heinemann Library;2020-07-16;308
1463;Revelation Space;Back Bay Books;2020-07-16;277
1464;Return to Paradise;Barron's Educational Series;2020-07-16;120
1465;Hop on Pop;Back Bay Books;2020-07-15;201
1466;Sempre;Back Bay Books;2020-07-15;256
1467;My Life on the Road;Harper Perennial Modern Classics;2020-07-16;187
1468;The Dark Hills Divide;HarperPerennial / Perennial Classics;2020-07-15;288
1469;The Argonauts;Harper Perennial Classics;2020-07-16;354
1470;La catedral del mar;Harper Perennial Modern Classics;2020-07-16;336
1471;Halt's Peril;The Crossroad Publishing Company;2020-07-15;320
1472;Silver Bay;Park Street Press;2020-07-16;304
1473;The Rats;Dalkey Archive Press;2020-07-16;432
1474;The One;Ivan R. Dee Publisher;2020-07-16;368
1475;Die for Me;Penguin Classics;2020-07-15;281
1476;Imitation in Death;Anchor Books;2020-07-15;432
1477;The Glass Palace;Bloomsbury Academic;2020-07-16;96
1478;Gut gegen Nordwind;Scribner;2020-07-15;208
1479;In One Person;Delta Publishing;2020-07-16;288
1480;The Ruins;Vintage;2020-07-16;165
1481;Not Quite Dating;Berkley;2020-07-15;336
1482;Simply Irresistible;Random House;2020-07-16;288
1483;Thirteen Reasons Why;Penguin Books;2020-07-16;464
1484;The Confession;Grand Central Publishing;2020-07-16;522
1485;Neverwhere;Grand Central Publishing;2020-07-15;376
1486;Worth Dying For;Lerner Publications;2020-07-15;128
1487;The Horse Whisperer;Ballantine Books;2020-07-16;368
1488;Foreplay;Pocket Books;2020-07-15;672
1489;Minding Frankie;Harper Perennial;2020-07-16;244
1490;Veil of Midnight;Ballantine Books;2020-07-16;304
1491;The Caine Mutiny;Washington Square Press;2020-07-15;465
1492;Anne of the Island;Vintage;2020-07-16;234
1493;Five on a Treasure Island ;Anchor Books;2020-07-16;328
1494;Devil in Winter ;Ballantine Books;2020-07-16;272
1495;V.;Back Bay Books;2020-07-15;304
1496;The Enemy;Dell;2020-07-15;648
1497;Arthur & George;Vintage;2020-07-16;256
1498;The Keepsake;Plume (Penguin Books Ltd);2020-07-15;318
1499;The Emperor's Code;Cartwheel;2020-07-16;40
1500;Unseen;Pocket;2020-07-16;465
1501;The Lover's Dictionary;Plume;2020-07-15;454
1502;The Sweet Gum Tree;Anchor Books;2020-07-16;400
1503;Burmese Days;Harper;2020-07-16;399
1504;The Apostle;Cartwheel;2020-07-16;40
1505;Top Secret Twenty-One;Washington Square Press;2020-07-15;357
1506;The Search;Vintage;2020-07-15;603
1507;Dead Poets Society ;Cartwheel;2020-07-16;40
1508;New York;Back Bay Books;2020-07-15;480
1509;Princess in Love;Scribner;2020-07-16;316
1510;Bloodline;Harper Perennial;2020-07-16;458
1511;Prom and Prejudice;Plume;2020-07-15;337
1512;The Seventh Scroll;Turtleback Books;2020-07-16;417
1513;Dry: A Memoir;Plume Books;2020-07-16;216
1514;Hawksong;Harper Perennial;2020-07-16;546
1515;Every Thing On It;De Boekerij;2020-07-15;744
1516;How Music Works;Harper;2020-07-15;432
1517;Monument 14;Free Press;2020-07-16;304
1518;No Rest for the Wicked;Modern Library;2020-07-15;274
1519;My Year of Meats;Library of America;2020-07-16;928
1520;Attachments;Scribner;2020-07-16;385
1521;Leviathan Wakes;Kessinger Publishing;2020-07-15;300
1522;Sh*t My Dad Says;HarperCollins Publishers;2020-07-16;1270
1523;God Help the Child;Vintage;2020-07-16;736
1524;White Night;Dover Publications;2020-07-16;78
1525;The Heretic Queen;Random House: Modern Library;2020-07-15;272
1526;My Soul to Steal;Penguin Books;2020-07-15;252
1527;In Real Life;Multnomah Books;2020-07-16;94
1528;Shades of Midnight;Penguin;2020-07-15;214
1529;Blaze;Library of America;2020-07-16;909
1530;Red Rising;Penguin Books;2020-07-16;96
1531;Eeny Meeny;Gemstone Publishing;2020-07-15;266
1532;A Color of His Own;Gemstone Publishing;2020-07-16;208
1533;Speak;Wildside Press;2020-07-16;168
1534;Days with Frog and Toad;Gemstone Publishing;2020-07-16;64
1535;My Friend Dahmer;Broadway Books;2020-07-15;144
1536;The Ambassador's Mission;Moody Publishers;2020-07-15;24
1537;Keep Holding On;Golden Books;2020-07-16;24
1538;A Beautiful Wedding;Candlewick Press;2020-07-15;160
1539;Ship of Destiny;Penguin Books;2020-07-16;112
1540;March;W. W. Norton  Company;2020-07-16;266
1541;First Lord's Fury;Running Press Kids;2020-07-15;56
1542;Horton Hears a Who!;Modern Library;2020-07-16;1347
1543;Horton Hatches the Egg;Penguin Classics;2020-07-16;288
1544;Tramp for the Lord;Simon  Schuster;2020-07-16;128
1545;The Cat in the Hat;Pearson Longman;2020-07-15;353
1546;Live and Let Die;Doubleday Books;2020-07-15;360
1547;Into the Wilderness;Delta;2020-07-16;278
1548;Doll Bones;Island;2020-07-15;535
1549;West Side Story;Delta;2020-07-16;419
1550;Chasm City;Delta;2020-07-16;416
1551;Decision Points;Bantam;2020-07-15;384
1552;Fever;Delta;2020-07-16;384
1553;Rules of Civility;Delta;2020-07-16;384
1554;UnSouled;Delta;2020-07-16;276
1555;A Raisin in the Sun;Arrow;2020-07-15;198
1556;Love Bites;Addison Wesley Publishing Company;2020-07-15;76
1557;A Fraction of the Whole;Delta;2020-07-16;483
1558;Lost Light;Bantam;2020-07-15;384
1559;Queen Song;Random House Audio;2020-07-16;0
1560;Open Season;Bantam;2020-07-16;743
1561;Fortune's Rocks;Penguin;2020-07-15;972
1562;Still Missing;Scholastic;2020-07-16;160
1563;Flyte;Puffin Books;2020-07-16;96
1564;The Catcher in the Rye;Wizards of the Coast;2020-07-16;336
1565;Deerskin;Time Warner Paperbacks;2020-07-15;509
1566;Complete Me;Candlewick Press;2020-07-15;221
1567;Fatal Vision;Firelight Press;2020-07-16;341
1568;Holding Up the Universe;Ace;2020-07-15;368
1569;The Ice Twins;Baen Books;2020-07-16;279
1570;The Dream Thieves;William Morrow & Company  Inc.;2020-07-16;32
1571;Last Man Standing;Plume Books;2020-07-15;336
1572;Darkly Dreaming Dexter;Bastei Lübbe;2020-07-16;1227
1573;Oscar and Lucinda;Doubleday;2020-07-16;594
1574;Midnight Bayou;Simon & Schuster Audio;2020-07-16;17
1575;Whiteout;Doubleday;2020-07-15;405
1576;What I Loved;Wings;2020-07-15;1096
1577;Bella Tuscany;Signet;2020-07-16;427
1578;The Onion Field;Hodder & Stoughton Ltd;2020-07-15;586
1579;My Soul to Take;Penguin Classics;2020-07-16;396
1580;The Dead Girls' Dance;Houghton Mifflin Harcourt;2020-07-16;198
1581;Deadline;Oxford University Press  USA;2020-07-15;225
1582;Shades of Earth;Ember;2020-07-16;338
1583;Find Her;Delacorte Books;2020-07-16;384
1584;Abandon;Random House Books for Young Readers;2020-07-16;86
1585;The Valley of Amazement;Plume;2020-07-15;339
1586;A Suitable Boy;Houghton Mifflin Harcourt;2020-07-15;400
1587;Heart of the Sea;Signet Classics;2020-07-16;268
1588;A Pocket Full of Rye;1st World Library;2020-07-15;387
1589;Lethal;Harper Perennial Modern Classics;2020-07-16;340
1590;The Ask and the Answer;HarperCollins;2020-07-16;340
1591;Imperium;Harper Perennial Modern Classics;2020-07-15;123
1592;The Emperor's Soul;HarperCollins;2020-07-16;259
1593;Bitten;Penguin Press HC  The;2020-07-16;896
1594;Ark Angel;Everyman's Library;2020-07-16;1313
1595;The Girl Before;Anchor;2020-07-15;464
1596;"Alas; Babylon";Anchor;2020-07-15;168
1597;Ceremony in Death;Anchor Books;2020-07-16;167
1598;Sula;Anchor Books;2020-07-15;286
1599;The Light Fantastic;Anchor Books;2020-07-16;416
1600;Origin in Death;Anchor;2020-07-16;112
1601;Promise Not to Tell;Puffin Books;2020-07-15;113
1602;L.A. Confidential;Touchstone Books;2020-07-16;252
1603;In the Skin of a Lion;Dramatists Play Service;2020-07-16;70
1604;Gregor the Overlander;HarperCollins;2020-07-16;64
1605;Money;Cliffs Notes;2020-07-15;80
1606;Ashes of Midnight;Warner Books (NY);2020-07-15;276
1607;Amy & Isabelle;Harcourt Brace;2020-07-16;439
1608;Winger;Cliffs Notes;2020-07-15;80
1609;The Redhead Revealed;University of Georgia Press;2020-07-16;264
1610;A Storm of Swords;Rodale Books;2020-07-16;364
1611;Left Neglected;W. W. Norton & Company;2020-07-15;391
1612;The Alienist;Addison Wesley Publishing Company;2020-07-16;3
1613;Broken Prey;W.W. Norton & Company;2020-07-16;256
1614;To Say Nothing of the Dog;Basic Books;2020-07-16;512
1615;The Dovekeepers;Princeton University Press;2020-07-15;158
1616;Big Little Lies;French & European Publications;2020-07-15;182
1617;Black Powder War;W. W. Norton  Company;2020-07-16;313
1618;The Kill Order;North Point Press;2020-07-15;193
1619;The Last Sin Eater;Vision;2020-07-16;384
1620;The Hours;Omohundro Institute and University of North Carolina Press;2020-07-16;675
1621;The Breadwinner;W. W. Norton  Company;2020-07-15;832
1622;Killer ;Cambridge University Press;2020-07-16;276
1623;Bay of Sighs;Cambridge University Press;2020-07-16;188
1624;Honour Among Thieves;Harvard University Press;2020-07-16;230
1625;Ex-Heroes;Routledge;2020-07-15;232
1626;Wideacre;W. W. Norton  Company;2020-07-15;1136
1627;More Than a Carpenter;Jane Nissen Books;2020-07-16;256
1628;Johnny Got His Gun;Penguin Books;2020-07-15;197
1629;The Naked and the Dead;Everyman's Library;2020-07-16;379
1630;Secret Daughter;Everyman Paperback Classics;2020-07-16;368
1631;Keys to Drawing;University Of Chicago Press;2020-07-15;198
1632;Shanghai Girls;Routledge;2020-07-16;240
1633;Dept. of Speculation;Yale University Press;2020-07-16;304
1634;Dragon's Oath;Penguin Books;2020-07-16;838
1635;Sunshine;Vintage Classics;2020-07-15;796
1636;Indignation;Modern Library;2020-07-15;467
1637;Sophie & Carter;Orbis Books;2020-07-16;192
1638;Kushiel's Scion;Penguin Classics;2020-07-15;230
1639;The Wee Free Men;Vintage Classics;2020-07-16;548
1640;The Humans;Vintage Classics;2020-07-16;344
1641;Bloodlines;Vintage;2020-07-15;647
